state,visited
"Bangkok", 2
"KamphaengPhet", 1
"ChaiNat", 1
"NakhonNayok", 1
"NakhonPathom", 1
"NakhonSawan", 1
"Nonthaburi", 1
"PathumThani", 2
"PhraNakhonSiAyutthaya", 1
"Phichit", 0
"Phitsanulok", 1
"LopBuri", 2
"SamutPrakan", 1
"SamutSongkhram", 1
"SamutSakhon", 1
"Saraburi", 1
"SingBuri", 1
"SuphanBuri", 1
"Sukhothai", 1
"UthaiThani", 0
"AngThong", 1
"Phetchabun", 1
"Chanthaburi", 1
"Chachoengsao", 1
"ChonBuri", 1
"Trat", 0
"PrachinBuri", 1
"Rayong", 1
"SaKaeo", 1
"Kanchanaburi", 1
"Tak", 0
"PrachuapKhiriKhan", 1
"Ratchaburi", 1
"Phetchaburi", 1
"Nan", 0
"Phayao", 1
"Lampang", 1
"Lamphun", 1
"Uttaradit", 0
"ChiangRai", 1
"ChiangMai", 1
"Phrae", 0
"MaeHongSon", 0
"Kalasin", 0
"KhonKaen", 0
"Chaiyaphum", 1
"NakhonPhanom", 0
"NakhonRatchasima", 2
"BuriRam", 1
"MahaSarakham", 0
"Mukdahan", 0
"Yasothon", 0
"RoiEt", 0
"SiSaKet", 0
"SakonNakhon", 0
"Surin", 0
"NongKhai", 1
"NongBuaLamPhu", 0
"AmnatCharoen", 0
"UdonThani", 0
"UbonRatchathani", 1
"Loei", 0
"Krabi", 1
"Chumphon", 1
"Trang", 1
"NakhonSiThammarat", 1
"Narathiwat", 0
"Pattani", 1
"Phang-nga", 1
"Phatthalung", 1
"Phuket", 1
"Yala", 0
"Ranong", 1
"Songkhla", 1
"Satun", 0
"SuratThani", 1
